company,city,state,source,source_id,provenance_url,naics_code,naics_sector,solar_fit_score,energy_intensity,tax_appetite,recommended_ownership,load_profile,est_system_kw,est_annual_kwh,est_annual_savings_usd,est_net_payback_yrs,est_25yr_npv_p50_usd,sales_script,script_cfo,script_facilities,script_sustainability,pitch_angle
"Modern Welding Company Of Texas","Houston","TX","osm_industrial","osm-1277976631","https://www.openstreetmap.org/way/osm-1277976631","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Mustang Pipeline Company","Houston","TX","osm_industrial","osm-1280859644","https://www.openstreetmap.org/way/osm-1280859644","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Castlewood Mud Wastewater Treatment Plant","Katy","TX","osm_industrial","osm-1287277427","https://www.openstreetmap.org/way/osm-1287277427","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Mitsubishi Heavy Industries Compressor Internaltional Corporation","Houston","TX","osm_industrial","osm-1289754083","https://www.openstreetmap.org/way/osm-1289754083","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"The Annex","Houston","TX","osm_industrial","osm-1291140703","https://www.openstreetmap.org/way/osm-1291140703","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Harris County Precinct 2","Houston","TX","osm_industrial","osm-1294818241","https://www.openstreetmap.org/way/osm-1294818241","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Marco Specialty Steel","Houston","TX","osm_industrial","osm-1296459204","https://www.openstreetmap.org/way/osm-1296459204","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"The Bama Co. Food Products","Houston","TX","osm_industrial","osm-1300302155","https://www.openstreetmap.org/way/osm-1300302155","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Mud 391 Lift Station","Houston","TX","osm_industrial","osm-1306459882","https://www.openstreetmap.org/way/osm-1306459882","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Complete Environmental Products","Pasadena","TX","osm_industrial","osm-1309062140","https://www.openstreetmap.org/way/osm-1309062140","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Southeastern Freight Lines","Houston","TX","osm_industrial","osm-1318563287","https://www.openstreetmap.org/way/osm-1318563287","","","","","","","","600","904032","90403","7.3","970164","","","","","Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Fedex Freight","Houston","TX","osm_industrial","osm-1318563293","https://www.openstreetmap.org/way/osm-1318563293","","","","","","","","600","904032","90403","7.3","970164","","","","","Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Centerpoint","Houston","TX","osm_industrial","osm-1320406356","https://www.openstreetmap.org/way/osm-1320406356","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"East End Maker Hub Campus","Houston","TX","osm_industrial","osm-1320445870","https://www.openstreetmap.org/way/osm-1320445870","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Fort Bend Independent School District","Houston","TX","osm_industrial","osm-1322778596","https://www.openstreetmap.org/way/osm-1322778596","","","","","","","","600","904032","90403","7.3","970164","","","","","Depot building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Easton Energy","Houston","TX","osm_industrial","osm-1331515172","https://www.openstreetmap.org/way/osm-1331515172","","","","","","","","600","904032","90403","7.3","970164","","","","","Distributor building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Us Steel","Houston","TX","osm_industrial","osm-1331515185","https://www.openstreetmap.org/way/osm-1331515185","","","","","","","","600","904032","90403","7.3","970164","","","","","Distributor building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Shark Trucking","Houston","TX","osm_industrial","osm-1331515200","https://www.openstreetmap.org/way/osm-1331515200","","","","","","","","600","904032","90403","7.3","970164","","","","","Trucking building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Pressure Pumping","Houston","TX","osm_industrial","osm-1333138398","https://www.openstreetmap.org/way/osm-1333138398","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Workshop","Houston","TX","osm_industrial","osm-1333138399","https://www.openstreetmap.org/way/osm-1333138399","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Wash Bay","Houston","TX","osm_industrial","osm-1333138401","https://www.openstreetmap.org/way/osm-1333138401","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Wireline","Houston","TX","osm_industrial","osm-1333138402","https://www.openstreetmap.org/way/osm-1333138402","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"City Of Katy Wastewater Treatment Plant","Katy","TX","osm_industrial","osm-1338470419","https://www.openstreetmap.org/way/osm-1338470419","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Proenergy Services","Houston","TX","osm_industrial","osm-1340142989","https://www.openstreetmap.org/way/osm-1340142989","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Ra Storage","Houston","TX","osm_industrial","osm-1340887614","https://www.openstreetmap.org/way/osm-1340887614","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Jester-Two Lift Station","Houston","TX","osm_industrial","osm-1367076670","https://www.openstreetmap.org/way/osm-1367076670","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Lkq","Houston","TX","osm_industrial","osm-1368619252","https://www.openstreetmap.org/way/osm-1368619252","","","","","","","","600","904032","90403","7.3","970164","","","","","Auto_wrecker building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Harris County Toll Road Authority","Houston","TX","osm_industrial","osm-1369837564","https://www.openstreetmap.org/way/osm-1369837564","","","","","","","","600","904032","90403","7.3","970164","","","","","Storage building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Centerpoint","Houston","TX","osm_industrial","osm-1369845517","https://www.openstreetmap.org/way/osm-1369845517","","","","","","","","600","904032","90403","7.3","970164","","","","","Natural_gas building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Lantana Point Reserve Peakshaving Unit","Houston","TX","osm_industrial","osm-1369845520","https://www.openstreetmap.org/way/osm-1369845520","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Pick Your Part","Houston","TX","osm_industrial","osm-1370776074","https://www.openstreetmap.org/way/osm-1370776074","","","","","","","","600","904032","90403","7.3","970164","","","","","Auto_wrecker building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Pick Your Part","Houston","TX","osm_industrial","osm-1370776528","https://www.openstreetmap.org/way/osm-1370776528","","","","","","","","600","904032","90403","7.3","970164","","","","","Auto_wrecker building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Take 5 Oil Change","Sugar Land","TX","osm_industrial","osm-1377969418","https://www.openstreetmap.org/way/osm-1377969418","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"City Of Houston Water Facility Southwest Well #1","Houston","TX","osm_industrial","osm-1384815113","https://www.openstreetmap.org/way/osm-1384815113","","","","","","","","600","904032","90403","7.3","970164","","","","","Water building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Texas Auto Trim","Houston","TX","osm_industrial","osm-1386329568","https://www.openstreetmap.org/way/osm-1386329568","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Sims Bayou Plant","Houston","TX","osm_industrial","osm-1394087974","https://www.openstreetmap.org/way/osm-1394087974","","","","","","","","600","904032","90403","7.3","970164","","","","","Water building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"District 71 Groundwater Facility","Houston","TX","osm_industrial","osm-1394576243","https://www.openstreetmap.org/way/osm-1394576243","","","","","","","","600","904032","90403","7.3","970164","","","","","Water building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Harrisburg Pump Station","Houston","TX","osm_industrial","osm-1395034807","https://www.openstreetmap.org/way/osm-1395034807","","","","","","","","600","904032","90403","7.3","970164","","","","","Water building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Mud Water Supply","Houston","TX","osm_industrial","osm-1396115944","https://www.openstreetmap.org/way/osm-1396115944","","","","","","","","600","904032","90403","7.3","970164","","","","","Water building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Mud Wwtp","Houston","TX","osm_industrial","osm-1396115945","https://www.openstreetmap.org/way/osm-1396115945","","","","","","","","600","904032","90403","7.3","970164","","","","","Water building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
